@relation SSS
@attribute ID real
@attribute Date real
@attribute FootSize real
@attribute Height real
@attribute Weight real
@attribute TailSize real
@attribute AntennasLength real
@attribute BrainVolume real
@attribute NumberTeeth real
@attribute class {Purple, Red}
@data
0,011111,0.11662128,0.9958171,0.0014264742,0.87306786,0.98909926,0.9752171,0.92900455,Red
1,011111,0.13464169,0.99414784,0.013388933,0.89633065,0.9665207,0.97026724,0.92757636,Red
2,011111,0.12791884,0.98525476,0.022699818,0.8972398,0.98265815,0.9811673,0.91643304,Red
3,011111,0.1207639,0.9738411,0.0,0.8941871,0.96935385,0.95934993,0.9398425,Red
4,011111,0.10606849,0.99761134,0.0020545572,0.86670727,0.9742524,0.9827313,0.9119337,Red
5,011111,0.09864926,0.9972394,0.0031507616,0.8851711,0.99789107,0.99342465,0.93035764,Red
6,011111,0.09730525,0.9884538,0.011979611,0.86788195,0.9732106,0.97958773,0.9284778,Red
7,011111,0.105920576,0.9776059,0.0,0.85825735,0.9847471,0.972645,0.9380993,Red
8,011111,0.06889085,0.9534422,0.032598887,0.90014625,0.9790553,0.9828241,0.9639581,Red
9,011111,0.11465555,0.98159003,0.029195061,0.8771162,0.969601,0.9477469,0.9080693,Red
10,011111,0.12519749,1.0076786,0.0,0.8737409,0.985863,0.9686067,0.9351621,Red
11,011111,0.119032055,1.0054978,0.02095575,0.8571341,0.99377954,0.971003,0.91725487,Red
12,011111,0.089091115,0.9832579,0.014409326,0.8588149,0.99573743,0.9815356,0.94061035,Red
13,011111,0.09423123,0.9775642,0.0,0.8765873,0.9639003,0.94105506,0.9186784,Red
14,011111,0.08202513,0.97280186,0.0,0.85919553,0.9698388,0.9745637,0.9504177,Red
15,011111,0.10244778,0.96394706,0.011521937,0.84611684,0.9846039,0.97826713,0.9360131,Red
16,011111,0.0752935,1.0042537,0.0,0.88358873,0.9819417,0.9885495,0.9390947,Red
17,011111,0.090461574,0.9849351,0.0,0.87136924,1.000566,0.9797049,0.93489325,Red
18,011111,0.1085421,1.0006739,0.00958555,0.8815004,0.98946965,0.96426535,0.94174314,Red
19,011111,0.09920976,1.000912,0.006774882,0.8751484,0.96292144,0.9710942,0.9462183,Red
