@relation checkerboard
@attribute ID real
@attribute DateStored real
@attribute Footsize real
@attribute Height real
@attribute Weight real
@attribute Tailsize real
@attribute AntenasLength real
@attribute BrainVolume real
@attribute NumberOfTeeth real
@attribute class {0, 1}
@data
0,110811,0.6022537,84.48519,19.420176,0.46803117,4.4847846,48.382263,12,0
1,110811,7.6785173,6.700987,18.12944,5.865187,3.6073563,45.581203,12,0
2,110811,6.1362147,63.26368,17.974163,8.825978,1.8164859,54.415913,9,0
3,110811,1.9207084,15.319216,20.176624,11.608622,3.2857485,42.88699,11,0
4,110811,9.230323,79.82955,16.42385,2.1502223,2.8210464,44.42318,11,0
5,110811,17.670055,77.96244,19.763931,1.5669742,3.668549,40.20731,15,0
6,110811,0.899812,31.599903,18.043201,0.9027305,2.612933,43.786354,12,0
7,110811,12.264221,17.317993,17.716341,6.7833934,1.08883,53.510654,10,0
8,110811,13.469971,58.797108,20.48731,12.900321,2.638064,44.658195,14,0
9,110811,13.371981,33.965706,18.699268,1.0108799,1.5531695,47.15273,11,0
10,110811,5.438796,45.482666,18.921764,9.098919,1.872817,49.88502,10,0
11,110811,11.150909,32.210793,17.773697,12.469451,1.4091613,39.346058,12,0
12,110811,10.665608,16.47281,19.693533,10.894501,4.2659826,46.615562,10,0
13,110811,6.3439026,95.02262,17.645357,8.311922,1.3781387,49.393955,12,0
14,110811,5.526366,0.28050542,19.37566,13.38392,4.1987224,49.63329,13,0
15,110811,9.175943,18.50732,18.407595,6.121879,3.4649854,51.2765,11,0
16,110811,17.149101,40.82619,17.013433,12.500516,0.3752786,48.345657,12,0
17,110811,19.947765,5.5021706,16.09331,7.0359983,0.84772706,51.24852,13,0
18,110811,3.4405303,31.382132,18.122438,4.7548018,2.3511329,52.052563,13,0
19,110811,6.383129,35.16496,19.110386,10.195119,4.0966625,53.570686,15,0
20,110811,1.3375401,13.063174,17.62183,1.4697478,2.8555036,50.2443,12,0
21,110811,5.071671,70.8416,15.324794,8.184583,2.9761217,42.571304,13,0
22,110811,3.5649467,27.148962,17.83463,4.903071,3.1715183,45.71646,14,0
23,110811,14.759364,42.0306,15.848444,7.924135,1.6414931,44.670383,11,0
24,110811,6.153535,35.620743,15.072624,11.495641,3.1000946,45.097168,11,0
25,110811,17.773859,37.922882,19.60833,6.11123,1.2600088,47.81641,13,0
26,110811,9.070076,27.518261,16.91787,2.6755428,1.4525018,46.363224,12,0
27,110811,2.5320601,79.78081,17.43233,12.808896,2.9558146,54.35292,12,0
28,110811,10.5336485,10.069972,18.906818,6.1815004,2.5917814,41.781025,11,0
29,110811,4.8624935,97.33041,18.509966,1.1003906,0.50819933,48.16894,12,0
30,110811,11.940287,43.02256,18.379755,0.7473117,4.274639,44.62465,37,1
31,110811,18.78518,20.375813,16.568872,9.907625,1.4164128,53.58875,36,1
32,110811,4.7905755,12.193209,16.6902,14.210623,1.9331241,49.277004,37,1
33,110811,8.426844,11.005282,19.075386,11.088974,1.7853281,56.973667,39,1
34,110811,3.6125314,53.99096,16.198158,9.674785,4.5793495,45.631905,37,1
35,110811,1.9094944,4.043114,15.635939,0.79429865,4.9832697,50.517952,40,1
36,110811,19.594715,36.50091,17.586601,6.2617307,2.716713,45.46905,37,1
37,110811,5.3355274,93.81211,18.085844,13.76115,1.1766589,49.29286,37,1
38,110811,18.492216,74.697914,16.851225,10.246749,3.997514,51.843758,38,1
39,110811,0.40269732,3.8062632,16.61798,12.785864,4.6556826,50.330647,37,1
40,110811,13.340758,7.453829,14.808768,8.962667,2.8795571,50.141453,39,1
41,110811,2.717408,2.5336385,18.039589,3.9968455,3.3310294,53.237408,35,1
42,110811,7.6119003,92.22523,19.48301,13.801451,1.2032888,50.970226,37,1
43,110811,19.534998,83.57436,18.528843,11.794634,4.903791,49.764107,37,1
44,110811,7.6648903,79.65611,18.746284,9.92534,2.436197,53.128075,38,1
45,110811,15.440783,10.809076,19.234015,10.404404,1.9889615,54.481842,39,1
46,110811,4.698435,14.802676,17.010574,8.927633,3.312653,44.31178,38,1
47,110811,12.395817,40.808052,18.035727,6.9113345,3.907529,44.949028,37,1
48,110811,5.8782816,74.285,15.434955,6.654858,2.7350748,48.264236,36,1
49,110811,16.606491,73.531624,16.139109,8.41789,0.9529719,43.643867,35,1
50,110811,11.914182,89.393166,15.476204,6.717529,4.096228,47.60262,35,1
51,110811,18.837206,49.77749,17.016966,8.574278,2.685053,53.280544,37,1
52,110811,14.082437,24.022758,16.557701,0.87586015,3.6326857,51.35715,36,1
53,110811,17.070562,9.22082,17.607635,1.1894971,0.20711541,47.735355,38,1
54,110811,17.53792,73.287796,19.037668,10.489748,4.0258985,40.47803,36,1
55,110811,0.8296323,46.428032,15.351643,0.9301168,3.442658,53.71616,35,1
56,110811,9.73207,23.756283,15.212928,13.568972,4.2300477,39.277424,39,1
57,110811,15.012035,53.885452,16.68179,3.257523,3.1427884,49.953697,40,1
58,110811,2.8510833,69.47659,15.816961,9.650061,3.4247637,48.347874,37,1
59,110811,7.7457333,20.869177,16.681782,2.7416663,3.728225,51.29737,35,1
60,110811,7.411107,9.310383,14.621744,4.7603846,4.066023,145.96141,14,1
61,110811,1.5615535,64.89248,17.93549,10.720391,2.0978274,159.12146,12,1
62,110811,0.49494624,60.560505,16.402576,11.108011,1.2399554,151.29878,13,1
63,110811,10.087671,8.50246,12.999798,9.948242,4.2202287,151.1175,12,1
